danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,label
0.569,0.959,-3.703,0.0996,0.0911,0.00026,0.0809,0.96,137.394,you really got me,the kinks,0
0.425,0.373,-7.543,0.0801,0.686,0.0,0.077,0.663,78.231,l-o-v-e,nat king cole,0
0.542,0.606,-5.817,0.0394,0.368,0.0,0.151,0.491,135.832,baby love,the supremes,0
0.589,0.451,-8.19,0.0315,0.822,1.25e-06,0.151,0.734,134.082,i'm into something good,herman's hermits,0
0.245,0.293,-10.361,0.0303,0.817,0.0,0.177,0.344,168.984,mr. lonely,bobby vinton,0
0.708,0.545,-7.376,0.0502,0.648,0.0,0.121,0.935,135.241,saturday night at the movies,the drifters,0
0.366,0.317,-13.976,0.027,0.541,0.0,0.0865,0.398,94.108,you've lost that lovin' feelin',the righteous brothers,0
0.495,0.54,-9.647,0.0389,0.718,0.0,0.163,0.559,118.359,downtown,petula clark,0
0.551,0.958,-2.855,0.0834,0.512,0.0,0.0762,0.709,136.867,all day and all of the night,the kinks,0
0.572,0.418,-10.738,0.0349,0.635,0.0,0.0961,0.694,104.566,my girl,the temptations,0
0.653,0.487,-12.678,0.0341,0.723,0.0,0.17,0.921,87.963,the race is on,george jones,0
0.546,0.568,-9.604,0.0285,0.146,0.0,0.77,0.488,112.584,don't let me be misunderstood,the animals,0
0.567,0.672,-7.666,0.0336,0.75,0.0837,0.367,0.79,126.509,i'll never find another you,the seekers,0
0.521,0.815,-6.148,0.0549,0.518,0.0,0.126,0.95,92.782,it's not unusual,tom jones,0
0.591,0.611,-9.179,0.0394,0.165,3.71e-05,0.114,0.655,128.246,just a little,the beau brummels,0
0.385,0.306,-12.167,0.0297,0.452,7.43e-06,0.128,0.546,173.377,catch the wind,donovan,0
0.456,0.47,-9.564,0.0294,0.513,3.76e-05,0.444,0.639,120.336,mr. tambourine man,the byrds,0
0.751,0.444,-8.63,0.0403,0.12,3.53e-06,0.118,0.849,111.917,in the midnight hour,wilson pickett,0
0.629,0.795,-6.02,0.0278,0.136,5.44e-06,0.132,0.6,110.583,i got you babe,sonny & cher,0
0.339,0.208,-16.725,0.0308,0.396,0.000519,0.18,0.288,98.54,unchained melody,the righteous brothers,0
0.482,0.721,-6.839,0.0321,0.731,0.0,0.189,0.557,95.263,like a rolling stone,bob dylan,0
0.552,0.734,-7.126,0.0291,0.221,0.0,0.116,0.846,94.887,help!,the beatles,0
0.333,0.307,-22.634,0.0396,0.676,2.15e-05,0.339,0.365,100.906,with these hands,tom jones,0
0.451,0.818,-8.124,0.0439,0.135,2.92e-05,0.052,0.755,124.532,turn! turn! turn! (to everything there is a season),the byrds,0
